,UserName,Repositry name,Rating,Url,Topic
0,mrdoob,three.js,94610,https://github.com/mrdoob/three.js,3D
1,pmndrs,react-three-fiber,23834,https://github.com/pmndrs/react-three-fiber,3D
2,libgdx,libgdx,21968,https://github.com/libgdx/libgdx,3D
3,BabylonJS,Babylon.js,21406,https://github.com/BabylonJS/Babylon.js,3D
4,ssloy,tinyrenderer,17916,https://github.com/ssloy/tinyrenderer,3D
5,lettier,3d-game-shaders-for-beginners,16072,https://github.com/lettier/3d-game-shaders-for-beginners,3D
6,aframevr,aframe,15687,https://github.com/aframevr/aframe,3D
7,FreeCAD,FreeCAD,15181,https://github.com/FreeCAD/FreeCAD,3D
8,CesiumGS,cesium,10991,https://github.com/CesiumGS/cesium,3D
9,metafizzy,zdog,10011,https://github.com/metafizzy/zdog,3D
10,blender,blender,9520,https://github.com/blender/blender,3D
11,isl-org,Open3D,9477,https://github.com/isl-org/Open3D,3D
12,timzhang642,3D-Machine-Learning,9134,https://github.com/timzhang642/3D-Machine-Learning,3D
13,a1studmuffin,SpaceshipGenerator,7456,https://github.com/a1studmuffin/SpaceshipGenerator,3D
14,domlysz,BlenderGIS,6677,https://github.com/domlysz/BlenderGIS,3D
15,FyroxEngine,Fyrox,6581,https://github.com/FyroxEngine/Fyrox,3D
16,nerfstudio-project,nerfstudio,6579,https://github.com/nerfstudio-project/nerfstudio,3D
17,google,model-viewer,6002,https://github.com/google/model-viewer,3D
18,openscad,openscad,5883,https://github.com/openscad/openscad,3D
19,spritejs,spritejs,5246,https://github.com/spritejs/spritejs,3D
20,ljianshu,Blog,7710,https://github.com/ljianshu/Blog,Ajax
21,metafizzy,infinite-scroll,7323,https://github.com/metafizzy/infinite-scroll,Ajax
22,olifolkerd,tabulator,5693,https://github.com/olifolkerd/tabulator,Ajax
23,developit,unfetch,5639,https://github.com/developit/unfetch,Ajax
24,jquery-form,form,5204,https://github.com/jquery-form/form,Ajax
25,Studio-42,elFinder,4485,https://github.com/Studio-42/elFinder,Ajax
26,elbywan,wretch,4189,https://github.com/elbywan/wretch,Ajax
27,dwyl,learn-to-send-email-via-google-script-html-no-server,3001,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,Ajax
28,ded,reqwest,2933,https://github.com/ded/reqwest,Ajax
29,wendux,ajax-hook,2421,https://github.com/wendux/ajax-hook,Ajax
30,LeaVerou,bliss,2381,https://github.com/LeaVerou/bliss,Ajax
31,noelboss,featherlight,2071,https://github.com/noelboss/featherlight,Ajax
32,craftpip,jquery-confirm,1844,https://github.com/craftpip/jquery-confirm,Ajax
33,taoensso,sente,1710,https://github.com/taoensso/sente,Ajax
34,nette,tracy,1679,https://github.com/nette/tracy,Ajax
35,loadingio,css-spinner,1646,https://github.com/loadingio/css-spinner,Ajax
36,k8w,tsrpc,1616,https://github.com/k8w/tsrpc,Ajax
37,joaomilho,Enterprise,1586,https://github.com/joaomilho/Enterprise,Ajax
38,codingforentrepreneurs,eCommerce,1438,https://github.com/codingforentrepreneurs/eCommerce,Ajax
39,u014427391,jeeplatform,1403,https://github.com/u014427391/jeeplatform,Ajax
40,jwasham,coding-interview-university,265255,https://github.com/jwasham/coding-interview-university,Algorithm
41,trekhleb,javascript-algorithms,175467,https://github.com/trekhleb/javascript-algorithms,Algorithm
42,TheAlgorithms,Python,169116,https://github.com/TheAlgorithms/Python,Algorithm
43,CyC2018,CS-Notes,167197,https://github.com/CyC2018/CS-Notes,Algorithm
44,yangshun,tech-interview-handbook,94965,https://github.com/yangshun/tech-interview-handbook,Algorithm
45,kdn251,interviews,60413,https://github.com/kdn251/interviews,Algorithm
46,TheAlgorithms,Java,53653,https://github.com/TheAlgorithms/Java,Algorithm
47,azl397985856,leetcode,52469,https://github.com/azl397985856/leetcode,Algorithm
48,algorithm-visualizer,algorithm-visualizer,44313,https://github.com/algorithm-visualizer/algorithm-visualizer,Algorithm
49,youngyangyang04,leetcode-master,42191,https://github.com/youngyangyang04/leetcode-master,Algorithm
50,krahets,hello-algo,32395,https://github.com/krahets/hello-algo,Algorithm
51,halfrost,LeetCode-Go,30585,https://github.com/halfrost/LeetCode-Go,Algorithm
52,huihut,interview,30462,https://github.com/huihut/interview,Algorithm
53,TheAlgorithms,JavaScript,27925,https://github.com/TheAlgorithms/JavaScript,Algorithm
54,donnemartin,interactive-coding-challenges,27846,https://github.com/donnemartin/interactive-coding-challenges,Algorithm
55,crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout,Algorithm
56,TheAlgorithms,C-Plus-Plus,25826,https://github.com/TheAlgorithms/C-Plus-Plus,Algorithm
57,keon,algorithms,22958,https://github.com/keon/algorithms,Algorithm
58,mxgmn,WaveFunctionCollapse,21802,https://github.com/mxgmn/WaveFunctionCollapse,Algorithm
59,trekhleb,homemade-machine-learning,21783,https://github.com/trekhleb/homemade-machine-learning,Algorithm
60,amphp,amp,4022,https://github.com/amphp/amp,Amp
61,danog,MadelineProto,2469,https://github.com/danog/MadelineProto,Amp
62,unreal4u,telegram-api,766,https://github.com/unreal4u/telegram-api,Amp
63,amphp,parallel,691,https://github.com/amphp/parallel,Amp
64,amphp,http-client,667,https://github.com/amphp/http-client,Amp
65,amphp,byte-stream,348,https://github.com/amphp/byte-stream,Amp
66,php-service-bus,service-bus,345,https://github.com/php-service-bus/service-bus,Amp
67,amphp,mysql,327,https://github.com/amphp/mysql,Amp
68,amphp,parallel-functions,248,https://github.com/amphp/parallel-functions,Amp
69,amphp,process,217,https://github.com/amphp/process,Amp
70,amphp,socket,200,https://github.com/amphp/socket,Amp
71,xtrime-ru,TelegramRSS,190,https://github.com/xtrime-ru/TelegramRSS,Amp
72,amphp,sync,144,https://github.com/amphp/sync,Amp
73,amphp,dns,141,https://github.com/amphp/dns,Amp
74,amphp,redis,140,https://github.com/amphp/redis,Amp
75,amphp,websocket-client,126,https://github.com/amphp/websocket-client,Amp
76,kelunik,acme,122,https://github.com/kelunik/acme,Amp
77,amphp,serialization,100,https://github.com/amphp/serialization,Amp
78,amphp,websocket-server,98,https://github.com/amphp/websocket-server,Amp
79,PeeHaa,mailgrab,91,https://github.com/PeeHaa/mailgrab,Amp
80,flutter,flutter,156868,https://github.com/flutter/flutter,Android
81,facebook,react-native,112114,https://github.com/facebook/react-native,Android
82,justjavac,free-programming-books-zh_CN,105096,https://github.com/justjavac/free-programming-books-zh_CN,Android
83,Genymobile,scrcpy,91390,https://github.com/Genymobile/scrcpy,Android
84,Hack-with-Github,Awesome-Hacking,69299,https://github.com/Hack-with-Github/Awesome-Hacking,Android
85,google,material-design-icons,48660,https://github.com/google/material-design-icons,Android
